# prm/ssd/tel1/ch2MeV_dEX.dat is created from AlphaCalibration.C
# offset gain
0.328619 0.0044074
0.385244 0.00242486
0.393634 0.00206122
0.406328 0.00208346
0.386924 0.00206353
0.389021 0.00202447
0.390825 0.00205999
0.397015 0.00206741
0.38018 0.00232369
0.37764 0.00234335
0.389629 0.00238241
0.396479 0.0024593
0.395455 0.00286364
0.442485 0.00291832
0.410419 0.0030309
0.426477 0.00304859
